   1.00022685098356e+00   1.33179829957570e-04   1.48380452479013e-04   1.51485107363883e-04   1.88762875454001e-04   6.89906724325418e-05   5.33864863745326e-05   9.83776389580622e-03   1.67057294787609e-05   2.12544886436794e-06  -4.34405290289930e-05  -7.23798226789241e-05  -4.73840755529920e-06   2.61114284633157e-06
  -2.79553742535700e-06   1.00018166469822e+00  -4.08615213574679e-05   5.46802622306846e-05  -5.79375662872200e-05   2.87561622011744e-05   2.34413054250084e-05   3.27634357861067e-05   9.98418587298584e-03   1.85657891756466e-05   9.84190967219870e-06  -8.95934872039523e-06  -2.74441589932090e-06   5.42857458109237e-06
  -1.38964618205113e-04  -1.30268599357003e-04   1.00003205409058e+00  -3.90308612771957e-04  -1.90231525040352e-04  -7.33953409216087e-05  -1.91655059033150e-04   2.25358673273265e-04   4.34332994089792e-05   9.96800496337377e-03   4.31559440649751e-05   1.07912963769774e-04   6.63222089782034e-06   8.87042920101611e-06
   1.23789611198562e-04   4.30592353642490e-05   9.84834808722022e-05   9.99932969961982e-01   5.58451145466129e-05  -1.60737670185189e-04   1.62885080623892e-04   2.45056143748368e-05  -4.87418320100907e-05   4.41456936349782e-05   1.00179809975562e-02  -3.63814219612874e-05  -2.67225480155009e-06   1.88866977587354e-05
   6.82475120065783e-06   4.01813315405021e-05  -9.40216442858071e-06   2.71061627289120e-06   1.00046325430270e+00  -2.03201110652044e-04   2.39965812030571e-04  -5.86206464859643e-05  -7.79014544143031e-06   1.25428313101396e-05   2.17562645623871e-05   9.92362469680010e-03  -2.21770493748635e-05   1.18251689839770e-05
  -2.10163954485541e-04  -1.61050855587981e-04   2.00795943984049e-04  -4.90832762158749e-05  -4.52322315869476e-05   9.99301778735893e-01   8.91449453793786e-05   8.77878558770417e-05   5.47557889936101e-05   1.79483978571815e-05   4.62781895910203e-06   4.92357451690809e-05   9.87929085617179e-03   6.99406206505770e-06
   2.10414712074153e-04  -1.16240199902825e-05  -2.13193927822563e-05   6.81336865956721e-05  -1.09923718910432e-04  -6.32777389237621e-05   1.00029320619871e+00   1.71705288947832e-04  -2.20872360830626e-04   2.95141660579257e-05  -9.04914556460606e-05   1.72790947717844e-05  -6.37263671045551e-05   9.83463993081177e-03
   3.90690563377212e-02   1.55503023628155e-02   2.92046950578420e-03   3.24268070194907e-02   2.57007688703775e-02   1.46219703305540e-02   2.68268390374058e-04   9.78021595420038e-01   5.03230244631106e-03   2.22945789233084e-03  -7.52112710306243e-03  -1.15244682316527e-02  -9.73864161998639e-04   5.38957597405796e-04
   7.96484463710266e-03   2.12810544281835e-02  -5.58745734358779e-03   1.38503395575754e-02  -6.42650404277494e-03   8.65938482287898e-03   1.99562181246551e-03   2.73512011893119e-03   9.94204836259847e-01   5.71145163189379e-04  -1.72008473309804e-03  -3.14211070480835e-03  -8.82051807752597e-04   1.15694740205424e-03
  -2.35175332871509e-02  -2.97209594825320e-02   5.15941407434436e-02  -8.22479485183722e-02  -2.17073253524514e-02  -1.09403229962449e-02  -2.12229801067223e-02   2.26742940634096e-02   3.37534344138418e-03   9.84850250039398e-01   8.43002327316070e-03   1.80375648489216e-02   8.69762323402573e-04   4.37272294467482e-04
   2.40297735968658e-02  -6.05204682948557e-03   2.15143838327495e-02  -4.96805432316764e-03   1.14793733171036e-02  -1.91296105519232e-02   2.10653483135719e-02   7.21471679880577e-04  -1.51776506282558e-02   5.39370212112551e-03   1.00093873389350e+00  -6.89476791869305e-03   3.52049695054066e-04   3.37892188728100e-03
   1.43387204674799e-03   3.39578532733613e-03  -1.70952652694179e-02   8.74253995049500e-03   8.57014917852859e-02  -3.48059686066481e-02   3.74215107314692e-02  -2.72043154913353e-03   1.32903218319158e-03   5.86620794346109e-03   3.44957170430920e-03   9.82929522903277e-01  -2.16490497467444e-03   3.42887556955828e-03
  -3.64614752601820e-02  -2.69751991252462e-02   2.77414629339673e-02  -9.09638553666782e-04  -9.30423051084590e-03  -1.27684451212922e-01   2.16580182321655e-02   1.67479569149766e-02   1.06564879661881e-02   4.43456165550008e-03   9.15828902634566e-04   1.04885009455599e-02   9.76576848641067e-01   6.02566086743218e-04
   2.83365907642464e-02  -4.39424448111360e-03   8.07670662693976e-04   1.26985208158062e-02  -2.56956501825205e-02  -1.73769699255176e-02   6.94516291453711e-02   3.07436216633204e-02  -3.81546589445710e-02   3.38344817391502e-03  -1.62350949498467e-02   5.83686170818624e-03  -1.51635351547191e-02   9.60805530425587e-01
