   2.93367207328296e-04  -1.21995817079085e-05  -1.28706212707302e-04   7.35688545457913e-05   1.55453822038298e-05  -1.42544455754567e-05   6.37666428799921e-05
   2.40316772741125e-05   4.73060745647795e-05  -1.16724754141012e-05   3.34053361774611e-05   4.82973494986688e-05  -7.57252171945666e-06   7.71607188213008e-06
  -1.63332043101864e-04   1.63890417258497e-05   3.90037007783922e-04  -1.34732506373303e-04  -1.18795038659525e-04  -2.75641949443184e-06  -9.23015402047866e-05
   6.39665518928911e-05   5.80290800798883e-05  -8.47102144896361e-06   1.42554027476649e-04   7.45502358125982e-05  -1.24768706136535e-04   8.38345934495166e-05
  -1.14764141977270e-04   1.32636540909111e-05  -2.51228947359725e-04   9.66696639675968e-06   9.07389896112221e-04   2.54530704213440e-06   2.26850813721396e-04
  -6.27762227469741e-05  -2.46846755314889e-05   5.91246245882360e-05  -3.02984981876975e-05  -2.70532564718984e-05   5.31254747075494e-04  -7.77164075227432e-05
  -4.45803999416725e-05  -1.64397929792058e-05  -3.16963284703875e-05   3.02152152857893e-05   1.37806926477524e-04  -6.67063904467025e-05   1.57190200632884e-03
   5.06973141580243e-02  -2.06952194751405e-03  -2.38787542644189e-02   8.19005647617897e-03   6.12706891370182e-03   9.82611944996762e-03   7.69950487566313e-03
   3.77732104163153e-03   9.66396553125874e-03  -2.64166485937507e-03   6.88358400046545e-03   8.02929899905950e-03  -1.35497455354735e-03  -1.37998885348418e-03
  -2.53002817597136e-02   3.27178397910703e-03   7.39533643150973e-02  -1.69571846080463e-02  -3.05887193211496e-02  -1.91238062918873e-02  -9.20678623681965e-03
   1.15928178522306e-02   1.12822546043838e-02  -1.11429249820223e-03   2.68663385943833e-02   1.74019026731319e-02  -2.26068546608574e-02   1.44512360376389e-02
  -2.29634588152922e-02   2.28001946721767e-03  -4.86294842903018e-02  -1.94933901141749e-03   1.76507446501890e-01   7.86229233318426e-03   3.93234409071411e-02
  -1.05978915549378e-02  -3.94486838367642e-03   1.00345737290855e-02  -6.27743582559458e-03  -4.62534546909058e-03   9.66498330308457e-02  -9.17397958658585e-03
  -5.26863770265932e-03  -3.08506778306769e-03  -7.05625865816443e-03   3.63353009852571e-03   3.45362560299496e-02  -1.39753139901455e-02   3.15188572028181e-01
