0.011071 0.602637
0.010662 0.601981
0.010253 0.601324
0.009844 0.600667
0.009435 0.600011
0.009026 0.599354
0.008617 0.598698
0.008208 0.598041
0.007799 0.597385
0.007390 0.596728
0.006981 0.596072
0.006572 0.595415
0.006163 0.594758
0.005754 0.594102
0.005345 0.593445
0.004936 0.592789
0.004527 0.592132
0.004118 0.591476
0.003709 0.590819
0.003300 0.590163
0.002891 0.589506
0.002482 0.588849
0.002073 0.588193
0.001664 0.587536
0.001255 0.586880
0.000846 0.586223
0.000433 0.585596
0.000028 0.584970
-0.000377 0.584332
-0.000781 0.583672
-0.001170 0.583013
-0.001559 0.582342
-0.001947 0.581671
-0.002336 0.580979
-0.002708 0.580297
-0.003081 0.579604
-0.003453 0.578911
-0.003818 0.578208
-0.004174 0.577504
-0.004530 0.576800
-0.004886 0.576086
-0.005235 0.575371
-0.005575 0.574656
-0.005915 0.573942
-0.006247 0.573227
-0.006579 0.572512
-0.006911 0.571798
-0.007243 0.571072
-0.007566 0.570357
-0.007882 0.569643
-0.008206 0.568928
-0.008530 0.568202
-0.008846 0.567488
-0.009162 0.566773
-0.009477 0.566058
-0.009793 0.565344
-0.010101 0.564629
-0.010408 0.563914
-0.010724 0.563189
-0.011032 0.562474
-0.011340 0.561759
-0.011647 0.561045
-0.011955 0.560330
-0.012263 0.559615
-0.012570 0.558900
-0.012878 0.558175
-0.013186 0.557460
-0.013485 0.556745
-0.013793 0.556031
-0.014101 0.555305
-0.014408 0.554590
-0.014708 0.553876
-0.015016 0.553161
-0.015315 0.552446
-0.015615 0.551732
-0.015914 0.551017
-0.016222 0.550291
-0.016522 0.549577
-0.016821 0.548862
-0.017121 0.548147
-0.017420 0.547433
-0.017720 0.546718
-0.018020 0.546003
-0.018319 0.545278
-0.018619 0.544563
-0.018918 0.543848
-0.019218 0.543134
-0.019517 0.542408
-0.019809 0.541693
-0.020108 0.540979
-0.020408 0.540264
-0.020708 0.539549
-0.020999 0.538835
-0.021299 0.538120
-0.021598 0.537394
-0.021890 0.536679
-0.022189 0.535965
-0.022489 0.535250
-0.022789 0.534535
-0.023080 0.533821
-0.023380 0.533106
-0.023679 0.532380
-0.023971 0.531666
-0.024262 0.530951
-0.024562 0.530236
-0.024861 0.529511
-0.025153 0.528796
-0.025452 0.528081
-0.025744 0.527367
-0.026035 0.526652
-0.026327 0.525937
-0.026626 0.525223
-0.026926 0.524497
-0.027218 0.523782
-0.027509 0.523068
-0.027800 0.522353
-0.028092 0.521638
-0.028383 0.520924
-0.028683 0.520209
-0.028983 0.519483
-0.029274 0.518769
-0.029566 0.518054
-0.029857 0.517339
-0.030149 0.516614
-0.030440 0.515899
-0.030732 0.515184
-0.031023 0.514469
-0.031315 0.513755
-0.031606 0.513040
-0.031897 0.512325
-0.032189 0.511600
-0.032480 0.510885
-0.032772 0.510170
-0.033063 0.509456
-0.033355 0.508741
-0.033646 0.508026
-0.033938 0.507312
-0.034229 0.506586
-0.034521 0.505871
-0.034812 0.505157
-0.035104 0.504442
-0.035395 0.503716
-0.035687 0.503002
-0.035978 0.502287
-0.036270 0.501572
-0.036561 0.500858
-0.036861 0.500143
-0.037152 0.499428
-0.037444 0.498703
-0.037735 0.497988
-0.038027 0.497273
-0.038318 0.496559
-0.038610 0.495844
-0.038909 0.495129
-0.039201 0.494415
-0.039492 0.493689
-0.039784 0.492974
-0.040075 0.492259
-0.040367 0.491545
-0.040666 0.490819
-0.040966 0.490104
-0.041257 0.489390
-0.041549 0.488675
-0.041840 0.487960
-0.042140 0.487246
-0.042431 0.486531
-0.042739 0.485805
-0.043039 0.485091
-0.043338 0.484376
-0.043630 0.483661
-0.043929 0.482947
-0.044229 0.482232
-0.044529 0.481517
-0.044836 0.480792
-0.045136 0.480077
-0.045435 0.479362
-0.045743 0.478648
-0.046051 0.477922
-0.046350 0.477207
-0.046650 0.476493
-0.046958 0.475778
-0.047265 0.475063
-0.047565 0.474349
-0.047873 0.473634
-0.048180 0.472908
-0.048488 0.472194
-0.048787 0.471479
-0.049095 0.470764
-0.049403 0.470049
-0.049711 0.469335
-0.050018 0.468620
-0.050334 0.467894
-0.050642 0.467180
-0.050949 0.466465
-0.051265 0.465750
-0.051581 0.465025
-0.051889 0.464310
-0.052196 0.463595
-0.052512 0.462881
-0.052828 0.462166
-0.053136 0.461451
-0.053451 0.460737
-0.053767 0.460011
-0.054083 0.459296
-0.054399 0.458582
-0.054714 0.457867
-0.055030 0.457152
-0.055346 0.456438
-0.055670 0.455723
-0.055994 0.454997
-0.056309 0.454283
-0.056625 0.453568
-0.056949 0.452853
-0.057273 0.452128
-0.057597 0.451413
-0.057913 0.450698
-0.058237 0.449984
-0.058552 0.449269
-0.058876 0.448554
-0.059192 0.447839
-0.059524 0.447114
-0.059840 0.446399
-0.060164 0.445684
-0.060487 0.444970
-0.060811 0.444255
-0.061143 0.443540
-0.061467 0.442826
-0.061799 0.442100
-0.062123 0.441385
-0.062455 0.440671
-0.062779 0.439956
-0.063111 0.439230
-0.063435 0.438516
-0.063767 0.437801
-0.064099 0.437086
-0.064431 0.436372
-0.064763 0.435657
-0.065095 0.434942
-0.065435 0.434217
-0.065767 0.433502
-0.066099 0.432787
-0.066431 0.432073
-0.066762 0.431358
-0.067094 0.430643
-0.067426 0.429929
-0.067758 0.429203
-0.068090 0.428488
-0.068430 0.427774
-0.068762 0.427059
-0.069102 0.426333
-0.069434 0.425618
