5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01
4.999996000012031927e-01 -7.999991983975968763e-04 4.995995995995995975e-01
4.999984032144320634e-01 -1.598395191988785614e-03 4.991991991991991950e-01
4.999964144541153566e-01 -2.395187980773566538e-03 4.987987987987987926e-01
4.999936385346820944e-01 -3.190377564751939107e-03 4.983983983983983901e-01
4.999900802705609659e-01 -3.983963943923903538e-03 4.979979979979979876e-01
4.999857444761808267e-01 -4.775947118289461564e-03 4.975975975975975851e-01
4.999806359659706434e-01 -5.566327087848609717e-03 4.971971971971971826e-01
4.999747595543591605e-01 -6.355103852601350599e-03 4.967967967967967802e-01
4.999681200557752891e-01 -7.142277412547683342e-03 4.963963963963963777e-01
4.999607222846477739e-01 -7.927847767687607947e-03 4.959959959959959752e-01
4.999525710554056368e-01 -8.711814918021124413e-03 4.955955955955955727e-01
4.999436711824775670e-01 -9.494178863548233607e-03 4.951951951951951703e-01
4.999340274802924200e-01 -1.027493960426893380e-02 4.947947947947948233e-01
4.999236447632791625e-01 -1.105409714018322671e-02 4.943943943943944208e-01
4.999125278458665944e-01 -1.183165147129111062e-02 4.939939939939940183e-01
4.999006815424835160e-01 -1.260760259759258900e-02 4.935935935935936159e-01
4.998881106675587827e-01 -1.338195051908765663e-02 4.931931931931932134e-01
4.998748200355213056e-01 -1.415469523577631700e-02 4.927927927927928109e-01
4.998608144607998294e-01 -1.492583674765857182e-02 4.923923923923924084e-01
4.998460987578233206e-01 -1.569537505473441244e-02 4.919919919919920059e-01
4.998306777410205237e-01 -1.646331015700385272e-02 4.915915915915916035e-01
4.998145562248203500e-01 -1.722964205446687880e-02 4.911911911911912010e-01
4.997977390236516548e-01 -1.799437074712350107e-02 4.907907907907907985e-01
4.997802309519431829e-01 -1.875749623497371607e-02 4.903903903903903960e-01
4.997620368241239563e-01 -1.951901851801751686e-02 4.899899899899899935e-01
4.997431614546226641e-01 -2.027893759625491385e-02 4.895895895895895911e-01
4.997236096578682174e-01 -2.103725346968590357e-02 4.891891891891891886e-01
4.997033862482895272e-01 -2.179396613831048601e-02 4.887887887887887861e-01
4.996824960403153382e-01 -2.254907560212865425e-02 4.883883883883883836e-01
4.996609438483745058e-01 -2.330258186114041868e-02 4.879879879879879812e-01
4.996387344868959413e-01 -2.405448491534577932e-02 4.875875875875875787e-01
4.996158727703085001e-01 -2.480478476474472574e-02 4.871871871871871762e-01
4.995923635130409823e-01 -2.555348140933726489e-02 4.867867867867867737e-01
4.995682115295221881e-01 -2.630057484912339677e-02 4.863863863863863712e-01
4.995434216341810285e-01 -2.704606508410312485e-02 4.859859859859859688e-01
4.995179986414464146e-01 -2.778995211427643872e-02 4.855855855855855663e-01
4.994919473657470910e-01 -2.853223593964334878e-02 4.851851851851851638e-01
4.994652726215119687e-01 -2.927291656020385158e-02 4.847847847847848168e-01
4.994379792231698478e-01 -3.001199397595794363e-02 4.843843843843844144e-01
4.994100719851495840e-01 -3.074946818690562494e-02 4.839839839839840119e-01
4.993815557218800327e-01 -3.148533919304689899e-02 4.835835835835836094e-01
4.993524352477901052e-01 -3.221960699438176923e-02 4.831831831831832069e-01
4.993227153773084903e-01 -3.295227159091023567e-02 4.827827827827828044e-01
4.992924009248642103e-01 -3.368333298263228442e-02 4.823823823823824020e-01
4.992614967048860097e-01 -3.441279116954792938e-02 4.819819819819819995e-01
4.992300075318027996e-01 -3.514064615165716360e-02 4.815815815815815970e-01
4.991979382200433801e-01 -3.586689792895999401e-02 4.811811811811811945e-01
4.991652935840366068e-01 -3.659154650145641369e-02 4.807807807807807920e-01
4.991320784382113906e-01 -3.731459186914642956e-02 4.803803803803803896e-01
4.990982975969965318e-01 -3.803603403203002775e-02 4.799799799799799871e-01
4.990639558748207749e-01 -3.875587299010722908e-02 4.795795795795795846e-01
4.990290580861131420e-01 -3.947410874337801273e-02 4.791791791791791821e-01
4.989936090453023776e-01 -4.019074129184239258e-02 4.787787787787787797e-01
4.989576135668173928e-01 -4.090577063550036863e-02 4.783783783783783772e-01
4.989210764650869323e-01 -4.161919677435193393e-02 4.779779779779779747e-01
4.988840025545399626e-01 -4.233101970839708850e-02 4.775775775775775722e-01
4.988463966496052282e-01 -4.304123943763583232e-02 4.771771771771771697e-01
4.988082635647116958e-01 -4.374985596206817234e-02 4.767767767767767673e-01
4.987696081142881099e-01 -4.445686928169410856e-02 4.763763763763763648e-01
4.987304351127633817e-01 -4.516227939651362711e-02 4.759759759759759623e-01
4.986907493745663111e-01 -4.586608630652674878e-02 4.755755755755755598e-01
4.986505557141257539e-01 -4.656829001173345972e-02 4.751751751751751573e-01
4.986098589458706209e-01 -4.726889051213375298e-02 4.747747747747748104e-01
4.985686638842296570e-01 -4.796788780772764937e-02 4.743743743743744079e-01
4.985269753436318285e-01 -4.866528189851513503e-02 4.739739739739740054e-01
4.984847981385059357e-01 -4.936107278449620300e-02 4.735735735735736029e-01
4.984421370832807230e-01 -5.005526046567087411e-02 4.731731731731732005e-01
4.983989969923851571e-01 -5.074784494203913449e-02 4.727727727727727980e-01
4.983553826802480935e-01 -5.143882621360099106e-02 4.723723723723723955e-01
4.983112989612982768e-01 -5.212820428035643688e-02 4.719719719719719930e-01
4.982667506499646737e-01 -5.281597914230546503e-02 4.715715715715715906e-01
4.982217425606760841e-01 -5.350215079944809632e-02 4.711711711711711881e-01
4.981762795078613637e-01 -5.418671925178432380e-02 4.707707707707707856e-01
4.981303663059492570e-01 -5.486968449931413361e-02 4.703703703703703831e-01
4.980840077693687862e-01 -5.555104654203753961e-02 4.699699699699699806e-01
4.980372087125486957e-01 -5.623080537995454181e-02 4.695695695695695782e-01
4.979899739499178413e-01 -5.690896101306511939e-02 4.691691691691691757e-01
4.979423082959051339e-01 -5.758551344136930011e-02 4.687687687687687732e-01
4.978942165649393181e-01 -5.826046266486706315e-02 4.683683683683683707e-01
4.978457035714493606e-01 -5.893380868355843627e-02 4.679679679679679682e-01
4.977967741298640059e-01 -5.960555149744339171e-02 4.675675675675675658e-01
4.977474330546121095e-01 -6.027569110652192946e-02 4.671671671671671633e-01
4.976976851601225826e-01 -6.094422751079407730e-02 4.667667667667667608e-01
4.976475352608242253e-01 -6.161116071025981439e-02 4.663663663663663583e-01
4.975969881711458931e-01 -6.227649070491914074e-02 4.659659659659659559e-01
4.975460487055164971e-01 -6.294021749477206329e-02 4.655655655655655534e-01
4.974947216783647819e-01 -6.360234107981856122e-02 4.651651651651651509e-01
4.974430119041196585e-01 -6.426286146005866229e-02 4.647647647647648039e-01
4.973909241972099826e-01 -6.492177863549235262e-02 4.643643643643643459e-01
4.973384633720645542e-01 -6.557909260611963220e-02 4.639639639639639990e-01
4.972856342431122290e-01 -6.623480337194051493e-02 4.635635635635635965e-01
4.972324416247819179e-01 -6.688891093295498691e-02 4.631631631631631940e-01
4.971788903315024211e-01 -6.754141528916303427e-02 4.627627627627627915e-01
4.971249851777025941e-01 -6.819231644056468478e-02 4.623623623623623891e-01
4.970707309778112371e-01 -6.884161438715993842e-02 4.619619619619619866e-01
4.970161325462572610e-01 -6.948930912894878131e-02 4.615615615615615841e-01
4.969611946974695216e-01 -7.013540066593121347e-02 4.611611611611611816e-01
4.969059222458768188e-01 -7.077988899810722101e-02 4.607607607607607791e-01
4.968503200059080638e-01 -7.142277412547683169e-02 4.603603603603603767e-01
4.967943927919920011e-01 -7.206405604804003162e-02 4.599599599599599742e-01
4.967381454185575973e-01 -7.270373476579683469e-02 4.595595595595595717e-01
4.966815827000335970e-01 -7.334181027874722703e-02 4.591591591591591692e-01
4.966247094508489113e-01 -7.397828258689119474e-02 4.587587587587587667e-01
4.965675304854323957e-01 -7.461315169022876559e-02 4.583583583583583643e-01
4.965100506182128504e-01 -7.524641758875993958e-02 4.579579579579579618e-01
4.964522746636191308e-01 -7.587808028248468895e-02 4.575575575575575593e-01
4.963942074360801482e-01 -7.650813977140302757e-02 4.571571571571571568e-01
4.963358537500246470e-01 -7.713659605551498322e-02 4.567567567567567544e-01
4.962772184198815939e-01 -7.776344913482051424e-02 4.563563563563563519e-01
4.962183062600797889e-01 -7.838869900931963453e-02 4.559559559559559494e-01
4.961591220850480322e-01 -7.901234567901234407e-02 4.555555555555556024e-01
4.960996707092151792e-01 -7.963438914389865675e-02 4.551551551551551444e-01
4.960399569470101411e-01 -8.025482940397855869e-02 4.547547547547547975e-01
4.959799856128617179e-01 -8.087366645925204989e-02 4.543543543543543950e-01
4.959197615211988208e-01 -8.149090030971913035e-02 4.539539539539539925e-01
4.958592894864501943e-01 -8.210653095537980006e-02 4.535535535535535900e-01
4.957985743230447495e-01 -8.272055839623407292e-02 4.531531531531531876e-01
4.957376208454112865e-01 -8.333298263228193503e-02 4.527527527527527851e-01
